File_name,signal,trap,B_bkg [Tesla],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Energy [eV],LO frequency [Hertz],Pitch angle [degrees],Starting x position [metres],Starting y position [metres],Starting z position [metres],Starting velocity [metres/second],Time step [seconds],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres]
out_31b5e960-619a-4b16-8db3-f5312a9353fb.h5,signal1,Harmonic,1.0048571427712552,27010090828.499775,118253227.69460678,18575.0,26891837600.80517,89.5,-0.0013758692964865634,0.0015588357118657475,0.0,[-77020063.2214406  -16177123.12996207   -686810.00908256],1e-09,496.01873051342307,154.60765618550025,0.02,0.005
out_a87cb06d-7bc1-4fee-a145-53f523617fbf.h5,signal1,Harmonic,1.0048571427712552,27008051373.63638,116213772.83121109,18575.0,26891837600.80517,89.5,0.0010497418801803631,-0.0031636191129870094,0.0,[78219638.35104199 -8687786.11781278   686810.00908256],1e-09,496.0462093240319,154.60765618550025,0.02,0.005
out_a7de3f13-e069-4f63-8f51-af8fe2596d3c.h5,signal1,Harmonic,1.0048571427712552,27009846531.66916,118008930.86399078,18575.0,26891837600.80517,89.5,0.00010745015383519507,0.0025378550611304396,0.0,[-12449435.82278208  77709722.68056996    686810.00908256],1e-09,496.0220215037147,154.60765618550025,0.02,0.005
out_27004542-ad4e-441b-8e63-032184324fa5.h5,signal1,Harmonic,1.0048571427712552,27009037241.285885,117199640.4807167,18575.0,26891837600.80517,89.5,-0.003525358499189779,-0.0009217694143348179,0.0,[-32145823.92023284  71836170.94393358    686810.00908256],1e-09,496.0329247846235,154.60765618550025,0.02,0.005
out_dc058bc3-04de-4f59-89d1-264e664ec8e3.h5,signal1,Harmonic,1.0048571427712552,27008493203.94338,116655603.1382103,18575.0,26891837600.80517,89.5,0.0022069180788353536,0.0022064408794222816,0.0,[-76291205.11573097  19324633.84869489    686810.00908256],1e-09,496.04025536094963,154.60765618550025,0.02,0.005
out_1fe89424-52e8-46f1-9d84-398ad244b9e0.h5,signal1,Harmonic,1.0048571427712552,27008209153.69783,116371552.89266205,18575.0,26891837600.80517,89.5,0.0024452493952944795,-0.0024256194516621404,0.0,[-25394093.43540192  74491136.85527116    686810.00908256],1e-09,496.044083072528,154.60765618550025,0.02,0.005
out_63df0e31-4402-480f-b8cf-c2b181db1968.h5,signal1,Harmonic,1.0048571427712552,27010668480.096725,118830879.29155731,18575.0,26891837600.80517,89.5,0.0015575702581317084,-0.0011153166850673528,0.0,[ 63771441.51199103 -46119331.07580127    686810.00908256],1e-09,496.01094942445013,154.60765618550025,0.02,0.005
out_7b2de799-94ec-47cd-82b9-cb3683d6ca2f.h5,signal1,Harmonic,1.0048571427712552,27010240781.592518,118403180.7873497,18575.0,26891837600.80517,89.5,0.0018685095226416122,-0.002069739779569589,0.0,[-42625159.25732072 -66158032.38976131    686810.00908256],1e-09,496.01671053043447,154.60765618550025,0.02,0.005
out_bbf19027-28fd-4f38-812d-84cb24667094.h5,signal1,Harmonic,1.0048571427712552,27011043721.274197,119206120.46902847,18575.0,26891837600.80517,89.5,-0.00024440036129056347,0.00195900911901031,0.0,[78600674.43687867 -3965277.98073084   686810.00908256],1e-09,496.0058953102136,154.60765618550025,0.02,0.005
out_8c4a9ce8-d1de-48c9-8275-303652fdf6b3.h5,signal1,Harmonic,1.0048571427712552,27010376754.85651,118539154.05134201,18575.0,26891837600.80517,89.5,0.0011403021495012152,0.0014495510939362194,0.0,[-78144177.54781882   9342214.23280531   -686810.00908256],1e-09,496.01487891686287,154.60765618550025,0.02,0.005
out_9ae46477-92de-42bc-b64f-f9e7854ccb46.h5,signal1,Harmonic,1.0048571427712552,27011396347.234425,119558746.42925644,18575.0,26891837600.80517,89.5,0.0010819630630282827,-0.0009091246129804752,0.0,[-54841824.04164112 -56446114.01312169   -686810.00908256],1e-09,496.00114613255795,154.60765618550025,0.02,0.005
out_9cecd232-56b7-4523-a6b3-c858bae16562.h5,signal1,Harmonic,1.0048571427712552,27011589397.103703,119751796.2985344,18575.0,26891837600.80517,89.5,0.0003673311418156194,9.200740662273124e-05,0.0,[-53060098.46431039 -58124137.86332101    686810.00908256],1e-09,495.9985462673421,154.60765618550025,0.02,0.005
