File_name,B_bkg [Tesla],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Energy [eV],LO frequency [Hertz],Pitch angle [degrees],Starting position [metres],Starting velocity [metres/second],Time step [seconds],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres]
out_070aa876-0634-45a9-8f2e-e66212422087.h5,1.0048571427712552,27008090794.474434,116253193.66926575,18575.0,26891837600.80517,89.5,[0.00385 0.      0.     ],[-74267690.53324515 -26040345.50951252    686810.00908256],1e-09,496.04567808091616,154.60765618550025,0.02,0.005
out_78466181-9905-4b04-84ec-e89112465685.h5,1.0048571427712552,27052895563.664345,161057962.85917664,18575.0,26891837600.80517,87.1,[0.001 0.    0.   ],[-75299872.02062191  22546292.81789996   3981847.96705131],1e-09,495.44447623932484,154.60765618550025,0.02,0.005
out_3e5bc470-2383-4586-afca-71a4ff85e867.h5,1.0048571427712552,27018864988.65227,127027387.84710312,18575.0,26891837600.80517,88.6,[0.00115 0.      0.     ],[-33757616.45103792 -71070295.78088199  -1922901.07592613],1e-09,495.9006339093004,154.60765618550025,0.02,0.005
out_5b585e27-8afb-4a5e-a72e-cf47dfab6f32.h5,1.0048571427712552,27049406664.850147,157569064.0449791,18575.0,26891837600.80517,87.2,[0.00125 0.      0.     ],[-70978039.61114568 -33787537.44922763  -3844654.14061033],1e-09,495.49110564339156,154.60765618550025,0.02,0.005
out_d6b67329-2d4e-420a-ae05-23518081bd75.h5,1.0048571427712552,27019853918.098927,128016317.29375839,18575.0,26891837600.80517,88.5,[0.0013 0.     0.    ],[78566260.9623084  -4166447.88371039  2060220.81826565],1e-09,495.8873358231684,154.60765618550025,0.02,0.005
out_f03cb86c-7268-4f1a-86d2-0ec56a9d156f.h5,1.0048571427712552,27032567024.769268,140729423.96409988,18575.0,26891837600.80517,87.8,[0.0013 0.     0.    ],[ 23929952.50747409 -74916557.05630988  -3021259.87030847],1e-09,495.71660833230834,154.60765618550025,0.02,0.005
out_278f5f2c-4179-4888-becd-1043a16f5422.h5,1.0048571427712552,27068994655.729,177157054.92383194,18575.0,26891837600.80517,86.7,[0.0028 0.     0.    ],[78536291.63681379 -2405544.63786552  4530497.80022054],1e-09,495.2297141816076,154.60765618550025,0.02,0.005
out_d704d5bd-f8e4-448b-8586-21a80a7ca8c7.h5,1.0048571427712552,27012053693.460445,120216092.65527725,18575.0,26891837600.80517,89.0,[0.00295 0.      0.     ],[53405686.72989013 57794524.79280881 -1373567.71492384],1e-09,495.9922938333189,154.60765618550025,0.02,0.005
out_95d375bf-35ad-4144-b101-cdc68e1c792a.h5,1.0048571427712552,27023175818.40227,131338217.59710312,18575.0,26891837600.80517,88.3,[5.e-05 0.e+00 0.e+00],[-77079917.71359055  15732004.38242119   2334841.05729442],1e-09,495.8426849074954,154.60765618550025,0.02,0.005
out_15fd55df-32ed-4424-8906-1268ff8965cd.h5,1.0048571427712552,27014485625.077084,122648024.27191544,18575.0,26891837600.80517,88.4,[0.00485 0.      0.     ],[-36067661.43891945  69918207.93455578  -2197534.28481529],1e-09,495.9595534212607,154.60765618550025,0.02,0.005
out_cff2666c-53e1-4e47-8d72-5f858877bdb0.h5,1.0048571427712552,27043155312.181206,151317711.3760376,18575.0,26891837600.80517,87.4,[0.0001 0.     0.    ],[ 72902864.66311185 -29439547.01412591   3570231.77123046],1e-09,495.57473357022394,154.60765618550025,0.02,0.005
out_b721d5ec-7bc6-4df9-bea9-f692cf66084c.h5,1.0048571427712552,27039328150.073772,147490549.26860428,18575.0,26891837600.80517,87.3,[0.0049 0.     0.    ],[63387826.95840812 46502681.40370601  3707448.60268611],1e-09,495.6259812561679,154.60765618550025,0.02,0.005
out_6999027e-d12d-4fb1-a590-5eca4f3f9aa4.h5,1.0048571427712552,27028446162.692184,136608561.8870163,18575.0,26891837600.80517,88.0,[0.0002 0.     0.    ],[-57272998.47314999  53912154.01789195   2746717.02781569],1e-09,495.77190272037154,154.60765618550025,0.02,0.005
out_af7bfd30-3cf0-4489-88f8-899aa0a11945.h5,1.0048571427712552,27035006878.66655,143169277.86138153,18575.0,26891837600.80517,87.7,[0.00035 0.      0.     ],[-27648631.00851532  73619549.9083371   -3158517.69570215],1e-09,495.6838906122641,154.60765618550025,0.02,0.005
out_b016af3e-9da8-433e-b04d-1513d99c230c.h5,1.0048571427712552,27062430946.662838,170593345.85766983,18575.0,26891837600.80517,86.8,[0.00385 0.      0.     ],[ 72083992.49021919 -31286700.33596425  -4393354.99849868],1e-09,495.31719413307275,154.60765618550025,0.02,0.005
out_9eacb53c-ebf9-42bf-960a-3137dc8e1f81.h5,1.0048571427712552,27016436500.626766,124598899.82159805,18575.0,26891837600.80517,88.8,[0.00135 0.      0.     ],[-44943167.40767094 -64588359.2687327    1648244.43709414],1e-09,495.93330040725414,154.60765618550025,0.02,0.005
out_0c62ebf9-a688-449b-8bd9-251c076f6c16.h5,1.0048571427712552,27008921389.31425,117083788.5090828,18575.0,26891837600.80517,89.7,[0.00285 0.      0.     ],[78486997.15443712 -5820877.89167907  -412089.35290339],1e-09,496.0344857559797,154.60765618550025,0.02,0.005
out_287466ae-0e80-4f63-b675-aa60ef95998b.h5,1.0048571427712552,27017729158.048912,125891557.2437439,18575.0,26891837600.80517,88.7,[0.0003 0.     0.    ],[78222801.1506737   8500956.40187381  1785575.4760964 ],1e-09,495.91591049023725,154.60765618550025,0.02,0.005
out_995eac3c-bf94-452b-8da0-e0dbd702c8e8.h5,1.0048571427712552,27057123536.177013,165285935.37184525,18575.0,26891837600.80517,87.0,[0.00025 0.      0.     ],[14909084.85778479 77168736.82207666 -4119029.66409281],1e-09,495.38801085773054,154.60765618550025,0.02,0.005
out_f0fb44a6-c00b-48da-9557-5ac9965618b7.h5,1.0048571427712552,27006987917.1512,115150316.34603119,18575.0,26891837600.80517,89.8,[0.0038 0.     0.    ],[78649129.68007487  2915490.53582316  -274726.93265739],1e-09,496.0605421988918,154.60765618550025,0.02,0.005
out_a44b4e9d-339d-4d9d-b860-8015bf7b2cb5.h5,1.0048571427712552,27015618555.8065,123780955.00133133,18575.0,26891837600.80517,88.3,[0.00495 0.      0.     ],[19085528.17433949 76318754.51636316 -2334841.05729442],1e-09,495.9443063250342,154.60765618550025,0.02,0.005
out_b73ce305-d5fa-40e6-bd8a-f6bc2ef8c219.h5,1.0048571427712552,27021640684.970444,129803084.16527557,18575.0,26891837600.80517,88.4,[0.00015 0.      0.     ],[-35906189.87792581  70001268.0663903    2197534.28481529],1e-09,495.86331566963327,154.60765618550025,0.02,0.005
out_25204420-5c52-48a5-a30e-5e0535759ae3.h5,1.0048571427712552,27036086875.574066,144249274.768898,18575.0,26891837600.80517,87.4,[0.0048 0.     0.    ],[-4855742.54813554 78472519.83204795 -3570231.77123046],1e-09,495.66941306866653,154.60765618550025,0.02,0.005
out_505fd699-ac89-44ee-a2a0-1379c774315f.h5,1.0048571427712552,27044161715.982147,152324115.17697906,18575.0,26891837600.80517,87.3,[0.00018331 0.0033219  0.        ],[ 61947037.67776654 -48405376.84176262  -3707448.60268611],1e-09,495.56126355276376,154.60765618550025,0.02,0.005
out_f08e0126-e221-430c-bc1d-0949a48c82da.h5,1.0048571427712552,27010473683.3167,118636082.51153183,18575.0,26891837600.80517,89.5,[0.00175 0.      0.     ],[39030331.76015826 68340490.59004949   686810.00908256],1e-09,496.0135732814945,154.60765618550025,0.02,0.005
