File_name,B_bkg [Tesla],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Energy [eV],LO frequency [Hertz],Pitch angle [degrees],Starting position [metres],Starting velocity [metres/second],Time step [seconds],Trap length [metres],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres]
out_77a7ebee-803c-422a-a3b9-d9888423edd5.h5,1.0,27052198845.005783,241555793.8435173,18575.0,26810643051.162266,87.1,[0.001 0.    0.   ],[-56338318.39043881  54812406.68945371   3981847.96705131],1e-09,0.1,495.45378544492377,154.60765618550025,0.02,0.005
out_d10b79ae-b164-4905-985a-e0128f3c1c0d.h5,1.0,27031333816.988937,220690765.8266716,18575.0,26810643051.162266,88.6,[0.00115 0.      0.     ],[-67141886.58917743 -41018662.53406458   1922901.07592613],1e-09,0.1,495.73315112077023,154.60765618550025,0.02,0.005
out_2df5faa3-af39-4576-8682-23091ab45668.h5,1.0,27050325089.072544,239682037.91027832,18575.0,26810643051.162266,87.2,[0.00125 0.      0.     ],[-35348081.45556861  70213908.38954069   3844654.14061033],1e-09,0.1,495.47882780573593,154.60765618550025,0.02,0.005
out_ae7a89e2-59d6-4461-8b80-90ff738faaab.h5,1.0,27032234076.996887,221591025.83462143,18575.0,26810643051.162266,88.5,[0.0013 0.     0.    ],[75695436.61479342 21452681.07395933  2060220.81826565],1e-09,0.1,495.72107425301635,154.60765618550025,0.02,0.005
out_935876b1-eb41-4cc4-a887-53406f9404b5.h5,1.0,27040711851.801422,230068800.63915634,18575.0,26810643051.162266,87.8,[0.0013 0.     0.    ],[-42171070.16888442  66383235.75265314  -3021259.87030847],1e-09,0.1,495.60744842580556,154.60765618550025,0.02,0.005
out_f491db91-89e5-4c3f-bc60-46e3c9d8af7b.h5,1.0,27060966443.331432,250323392.16916656,18575.0,26810643051.162266,86.7,[0.0028 0.     0.    ],[-40085267.52936032 -67578895.19788736   4530497.80022054],1e-09,0.1,495.33672779029996,154.60765618550025,0.02,0.005
out_a7dc9767-871e-4d74-8fea-34b7ca933c56.h5,1.0,27027805771.473118,217162720.31085205,18575.0,26810643051.162266,89.0,[0.00295 0.      0.     ],[ 71509754.539668   -32844017.3668537    1373567.71492384],1e-09,0.1,495.78049952486185,154.60765618550025,0.02,0.005
out_8b417a69-5b58-4ae2-9881-0def85359dfb.h5,1.0,27034473920.843117,223830869.68085098,18575.0,26810643051.162266,88.3,[5.e-05 0.e+00 0.e+00],[19494994.59680652 76215187.87153183  2334841.05729442],1e-09,0.1,495.69103611014503,154.60765618550025,0.02,0.005
out_4b08c177-d22d-44c7-a634-d272e61513db.h5,1.0,27032985634.671352,222342583.5090866,18575.0,26810643051.162266,88.4,[0.00485 0.      0.     ],[ 25920696.28417186 -74280209.38713095   2197534.28481529],1e-09,0.1,495.7109938071378,154.60765618550025,0.02,0.005
out_67a29f15-0cce-4ba5-b005-d9c600d1300b.h5,1.0,27046730455.85882,236087404.6965561,18575.0,26810643051.162266,87.4,[0.0001 0.     0.    ],[78388871.64235677 -6058003.55918086  3570231.77123046],1e-09,0.1,495.52689454342476,154.60765618550025,0.02,0.005
out_625bc8ee-ca57-410a-bf01-f0163c4f1058.h5,1.0,27048033239.032658,237390187.87039185,18575.0,26810643051.162266,87.3,[0.0049 0.     0.    ],[15133781.99181544 77145865.90911973 -3707448.60268611],1e-09,0.1,495.5094701492385,154.60765618550025,0.02,0.005
out_b943bc45-8a43-4138-a5f2-8b64e41204a0.h5,1.0,27038059185.69764,227416134.5353737,18575.0,26810643051.162266,88.0,[0.0002 0.     0.    ],[54710573.2120937  56510794.40034868  2746717.02781569],1e-09,0.1,495.6429816628538,154.60765618550025,0.02,0.005
out_35d092ad-3e43-47b9-8d43-c69b976528ef.h5,1.0,27042057635.137226,231414583.97496033,18575.0,26810643051.162266,87.7,[0.00035 0.      0.     ],[ 16441004.09805329 -76902394.69352673   3158517.69570215],1e-09,0.1,495.589428184148,154.60765618550025,0.02,0.005
